TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus
2023-02-20 02:30:28,15855,2,1,2559,392,649,3664,2,1987,1000,447,39951
2023-02-20 02:35:40,15302,5,1,2709,1818,1804,3868,5,1883,1000,230,39948
2023-02-20 02:42:02,14191,12,1,2729,1647,1703,3871,12,1675,1000,114,39951
2023-02-20 02:46:00,13087,19,1,2669,1577,1737,3923,19,1467,1000,114,39951
2023-02-20 02:50:28,11731,28,0,2689,-237,-635,3805,27,1213,1000,123,39949
2023-02-20 02:55:29,11908,27,0,2609,-101,-102,3796,26,1246,290,122,39948
2023-02-20 03:00:28,11957,26,0,2759,-8,-5,3794,26,1255,238,112,39949
2023-02-20 03:06:59,12120,25,0,2789,-52,-120,3741,24,1286,514,109,39951
2023-02-20 03:25:28,12419,22,0,2529,-10,-7,3770,23,1342,746,118,39951
2023-02-20 03:30:29,12591,21,0,2669,-326,-383,3663,21,1374,783,115,39950
2023-02-20 03:35:29,12922,20,0,3200,-698,-615,3685,19,1436,844,93,39938
2023-02-20 03:40:28,13074,19,0,3050,-206,-197,3741,18,1465,739,97,39947
2023-02-20 03:45:28,13170,18,0,2929,-15,-3,3696,18,1483,727,101,39947
2023-02-20 03:50:29,13423,16,0,3350,-668,-584,3677,16,1531,898,87,39945
2023-02-20 03:55:28,13790,14,0,3589,-643,-645,3652,14,1599,1147,77,39949
2023-02-20 04:00:28,14171,12,0,3779,-1031,-905,3643,11,1664,1133,74,39940
2023-02-20 04:05:29,14543,10,0,3839,-785,-659,3628,9,1729,1078,76,39944
2023-02-20 04:10:29,14867,7,0,3919,-1050,-1123,3621,7,1797,962,83,39951
2023-02-20 04:15:28,15191,6,0,3889,-611,-594,3614,5,1866,987,95,39936
2023-02-20 04:20:29,15508,4,0,3789,-843,-692,3569,3,1929,832,136,39943
2023-02-20 04:25:28,15848,1,0,3889,-845,-844,3456,1,1994,644,217,39949
2023-02-20 04:30:28,15778,3,0,3959,-834,-814,3534,2,1972,1000,161,39951
2023-02-20 04:35:28,15048,8,1,4409,2132,2116,3846,7,1836,1000,70,39951
2023-02-20 04:40:29,14116,13,1,4439,2107,2108,3877,13,1661,1000,55,39951
2023-02-20 04:45:29,13201,19,1,4519,2120,2124,3916,19,1489,1000,56,39951
2023-02-20 04:50:28,13278,17,0,3989,-1086,-1117,3672,17,1503,633,66,39949
2023-02-20 04:55:28,13587,16,0,3629,-617,-602,3682,15,1561,845,75,39951
2023-02-20 05:05:29,13752,14,0,3769,-848,-589,3667,14,1592,941,72,39936
2023-02-20 05:10:28,14176,11,0,3779,-1010,-948,3551,11,1672,1016,75,39947
2023-02-20 05:15:29,14606,9,0,3759,-938,-944,3628,8,1753,931,85,39939
2023-02-20 05:20:28,14913,8,1,4519,3031,2862,3741,8,1810,1000,69,39941
2023-02-20 05:25:29,14421,12,1,4379,2122,2124,3847,11,1718,1000,60,39942
2023-02-20 05:30:29,13478,17,1,4489,2135,2135,3898,17,1541,1000,55,39942
2023-02-20 05:35:29,12608,23,1,4529,2119,2117,3928,22,1378,1000,55,39942
2023-02-20 05:40:29,11742,28,1,4489,1987,1938,3951,28,1215,1000,65,39942
2023-02-20 05:45:29,10796,34,1,4519,2137,2135,3978,33,1037,1000,75,39942
2023-02-20 05:50:28,10708,35,0,3909,-587,-585,3789,33,1021,435,87,39943
2023-02-20 05:55:29,11029,32,0,3850,-550,-544,3748,31,1081,664,93,39943
2023-02-20 06:00:28,11303,31,0,3719,-702,-666,3735,29,1133,697,100,39943
2023-02-20 06:05:29,10795,34,1,4669,3017,3042,3970,33,1037,1000,76,39944
2023-02-20 06:10:29,9858,40,1,4500,2137,2137,3999,39,861,1000,63,39944
2023-02-20 06:15:29,9022,45,1,4339,1491,1359,3982,44,704,1000,54,39944
2023-02-20 06:20:29,8325,49,1,4509,2136,2137,4034,49,574,1000,44,39944
2023-02-20 06:25:28,7824,53,1,3989,2349,3111,4069,52,480,1000,43,39944
2023-02-20 06:30:29,7058,57,0,4000,-377,-407,3943,56,336,587,63,39945
2023-02-20 06:40:29,7546,56,0,3750,-15,-5,3898,53,427,1900,47,39944
2023-02-20 06:45:29,7869,53,0,3800,-615,-620,3837,51,488,1888,49,39944
2023-02-20 06:50:29,7451,55,1,4409,2109,2110,4050,54,410,1000,40,39948
2023-02-20 06:55:29,6486,61,1,4529,2137,2136,4125,60,228,1000,54,39948
2023-02-20 07:00:29,5613,67,1,4319,1527,1524,4133,65,64,1000,41,39948
2023-02-20 07:05:28,4738,72,1,4479,1986,2003,4188,71,-100,1000,31,39948
2023-02-20 07:10:29,4020,75,1,4450,1992,1995,4261,75,-235,1000,27,39948
2023-02-20 07:15:29,3399,80,0,4019,0,3,4184,79,-351,1000,28,39948
2023-02-20 07:30:29,4240,78,0,3529,-594,-570,4046,73,-193,2799,50,39951
2023-02-20 07:35:28,4512,76,0,3450,-626,-590,4037,72,-142,2764,55,39937
2023-02-20 07:40:28,4770,74,0,3239,-644,-624,4019,70,-94,2362,67,39941
2023-02-20 07:45:28,5048,72,0,3079,-639,-788,3981,68,-42,1932,79,39949
2023-02-20 07:50:29,5254,71,0,3019,-218,-142,4017,67,-3,2092,82,39936
2023-02-20 08:05:28,5416,70,0,1839,-661,-403,3986,66,28,954,188,39937
2023-02-20 08:10:28,5647,68,0,2400,-700,-693,3934,65,71,1383,135,39940
2023-02-20 08:20:28,5943,66,0,2289,-740,-705,3892,63,126,1331,150,39940
2023-02-20 08:25:28,6218,64,0,2369,-465,-442,3873,61,178,1471,144,39948
2023-02-20 08:30:29,6569,62,0,2719,-557,-566,3864,59,244,1693,127,39937
2023-02-20 08:35:28,6885,60,0,3029,-530,-521,3837,57,303,1764,109,39939
2023-02-20 08:40:29,7212,58,0,3039,-1024,-786,3846,55,365,1857,89,39939
2023-02-20 08:45:28,7520,56,0,3039,-568,-649,3810,53,422,1718,76,39941
2023-02-20 08:50:28,7835,54,0,2900,-581,-586,3813,51,482,1713,84,39947
2023-02-20 08:55:28,8178,51,0,2429,-364,-358,3833,49,516,1419,121,39946
2023-02-20 09:00:28,8323,50,0,2259,-383,-207,3808,48,542,1107,143,39945
2023-02-20 09:10:28,8629,48,0,2129,-189,-225,3828,46,583,980,165,39946
2023-02-20 09:15:29,8772,47,0,2239,-144,-159,3828,45,602,990,157,39944
2023-02-20 09:30:29,8985,46,0,2489,-365,-310,3801,44,680,1041,142,39947
2023-02-20 09:35:28,9165,45,0,2459,-12,0,3821,43,701,1059,144,39945
2023-02-20 09:40:28,9255,44,0,2279,-148,-134,3805,42,726,902,161,39950
2023-02-20 09:45:28,9308,43,0,2139,-263,-184,3820,42,751,947,176,39939
2023-02-20 09:55:28,9635,42,0,1839,-141,-130,3797,40,791,814,215,39938
2023-02-20 10:00:28,9711,41,0,1700,-143,-128,3794,39,808,866,233,39938
2023-02-20 10:05:29,9838,40,0,1600,-12,-2,3811,39,819,751,244,39937
2023-02-20 10:15:28,9783,39,0,1539,-138,-137,3780,39,838,842,257,39938
2023-02-20 10:30:55,10281,37,0,2579,-431,-190,3795,36,896,852,153,39940
2023-02-20 10:40:43,10604,36,0,2189,-11,-3,3809,34,901,675,183,39941
2023-02-20 10:50:29,10324,35,0,2000,-320,-285,3758,35,922,814,205,39942
2023-02-20 11:05:29,10732,34,0,2679,-214,-207,3746,33,1026,1063,151,39940
2023-02-20 11:10:28,10899,33,0,2629,-339,-859,3757,32,1058,902,155,39943
2023-02-20 11:15:29,11060,32,0,2519,-304,-244,3756,31,1082,1050,163,39941
2023-02-20 11:20:28,11251,31,0,2429,-174,-171,3762,30,1101,955,169,39947
2023-02-20 11:25:28,10948,32,1,3179,2524,2529,4074,32,1066,1000,143,39945
2023-02-20 11:30:28,9651,41,1,3719,2940,2943,4113,40,822,1000,104,39946
2023-02-20 11:35:28,8345,49,1,4079,2936,2940,4145,48,577,1000,67,39946
2023-02-20 11:40:28,7047,57,1,4269,2941,2943,4193,56,334,1000,72,39946
2023-02-20 11:45:28,5881,64,1,4139,2294,2298,4199,64,115,1000,59,39946
2023-02-20 11:50:29,4963,70,1,4000,2006,2011,4224,69,-58,1000,46,39946
2023-02-20 11:55:28,4069,75,1,3969,2012,2014,4284,75,-225,1000,38,39946
2023-02-20 12:00:29,3322,80,1,3709,1313,1330,4289,79,-366,1000,36,39946
2023-02-20 12:05:29,2787,83,1,3550,1103,1106,4306,83,-466,1000,37,39946
2023-02-20 12:10:28,2299,86,1,3469,1090,1094,4344,86,-558,1000,37,39946
2023-02-20 12:15:42,1987,88,1,3409,1090,1094,4372,88,-616,1000,38,39946
2023-02-20 12:21:51,1563,91,1,3339,1094,1098,4394,90,-696,1000,39,39946
2023-02-20 12:25:48,1011,94,1,3209,789,792,4418,94,-799,1000,50,39946
2023-02-20 12:31:32,673,96,1,3109,618,622,4428,96,-863,1000,59,39946
2023-02-20 12:36:43,489,97,1,3050,531,535,4429,97,-898,1000,66,39946
2023-02-20 12:41:52,226,99,1,2959,414,418,4434,99,-947,1000,77,39946
2023-02-20 12:45:29,48,100,1,2919,347,350,4437,99,-980,1000,82,39946
2023-02-20 17:20:28,983,99,0,3029,-542,-578,4312,94,-971,1694,61,44050
2023-02-20 17:25:29,1263,98,0,3319,-511,-503,4334,92,-917,1907,44,44052
2023-02-20 17:30:29,1526,96,0,3319,-607,-591,4269,90,-868,2008,43,44058
2023-02-20 17:35:28,1786,94,0,3469,-508,-502,4273,89,-819,2065,38,44049
2023-02-20 17:40:28,2067,92,0,3619,-619,-859,4255,87,-766,2253,34,44056
2023-02-20 17:45:28,2350,90,0,3700,-606,-596,4229,85,-712,2039,33,44061
2023-02-20 17:50:29,2648,88,0,3669,-605,-586,4209,83,-656,1947,36,44052
2023-02-20 17:55:29,2790,87,0,3419,-129,-187,4247,83,-629,1578,42,44057
2023-02-20 18:00:28,3075,85,0,3579,-793,-840,4183,81,-575,1650,42,44048
2023-02-20 18:05:29,3363,83,0,3550,-600,-591,4155,79,-521,1606,44,44058
2023-02-20 18:10:29,3635,82,0,3539,-502,-499,4143,77,-469,1504,46,44060
2023-02-20 18:15:28,3918,80,0,3629,-722,-757,4116,75,-416,1460,46,44053
2023-02-20 18:20:28,4210,78,0,3519,-551,-631,4089,74,-361,1371,52,44056
2023-02-20 18:26:02,4325,77,0,3450,-15,-10,4122,73,-339,1393,53,44056
2023-02-20 18:30:29,4569,75,0,3319,-522,-560,4068,71,-293,1136,64,44060
2023-02-20 18:35:28,4851,73,0,3489,-744,-697,4050,70,-239,1267,61,44049
2023-02-20 18:40:28,5146,72,0,3609,-531,-528,4033,68,-184,1226,59,44057
2023-02-20 18:45:48,5334,70,0,3600,-83,-85,4062,67,-148,1000,61,44056
2023-02-20 18:50:29,5575,69,0,3419,-707,-763,3997,65,-103,1103,74,44063
2023-02-20 18:55:29,5859,67,0,3559,-619,-548,3984,63,-49,1113,74,44050
2023-02-20 19:00:28,6118,65,0,3550,-756,-787,3958,62,-1,950,80,44050
2023-02-20 19:05:28,6285,64,0,3489,-703,-780,4006,61,33,823,84,44048
2023-02-20 19:10:29,6590,62,0,3539,-640,-641,3932,59,89,967,89,44056
2023-02-20 19:15:28,6903,60,0,3529,-844,-786,3902,57,148,959,91,44057
2023-02-20 19:20:28,7209,58,0,3679,-918,-650,3895,55,206,1065,71,44051
2023-02-20 19:25:28,7504,56,0,3709,-888,-900,3868,53,261,1028,57,44053
2023-02-20 19:30:29,7790,54,0,3659,-592,-645,3867,51,317,965,58,44054
2023-02-20 19:35:29,8054,52,0,3719,-600,-593,3853,50,367,905,60,44060
2023-02-20 19:40:28,8282,51,0,3719,-694,-580,3834,48,410,829,66,44049
2023-02-20 19:49:49,8326,50,0,3729,-15,-12,3866,48,443,849,65,44051
2023-02-20 19:55:28,8767,47,0,3059,-708,-649,3792,45,502,719,106,44051
2023-02-20 20:00:29,9057,45,0,3119,-668,-677,3795,43,559,777,104,44057
2023-02-20 20:05:28,9307,44,0,3139,-568,-554,3797,42,608,768,103,44048
2023-02-20 20:13:31,9394,43,0,3169,-327,-277,3783,41,622,750,105,44053
2023-02-20 20:15:28,9529,42,0,2979,-568,-582,3791,40,644,661,117,44055
2023-02-20 20:20:39,9619,41,0,3089,-51,-41,3835,40,672,621,110,44052
2023-02-20 20:30:28,9843,40,0,3100,-135,-141,3757,38,704,638,115,44055
2023-02-20 20:36:06,9505,39,0,3150,-77,-53,3813,41,730,628,104,44055
2023-02-20 20:53:41,10207,38,0,3200,-76,-63,3773,36,779,702,113,44053
2023-02-20 21:05:46,10359,37,0,2750,-581,-532,3815,36,805,484,136,44053
2023-02-20 21:15:29,10624,35,0,2989,-586,-574,3759,33,853,666,130,44054
2023-02-20 21:20:29,10945,32,0,3309,-638,-615,3723,31,915,739,120,44055
2023-02-20 21:25:28,11370,30,0,3719,-1310,-1893,3701,28,995,783,106,44053
2023-02-20 21:30:28,11687,28,0,3750,-843,-870,3730,27,1065,964,88,44056
2023-02-20 21:35:28,12057,25,0,3889,-669,-632,3707,24,1131,988,73,44060
2023-02-20 21:40:28,12486,23,0,4000,-1581,-1126,3695,22,1207,970,67,44061
2023-02-20 21:45:28,12782,21,0,4009,-588,-596,3709,20,1272,910,66,44049
2023-02-20 21:50:28,13111,19,0,3929,-656,-731,3696,18,1330,850,70,44052
2023-02-20 21:55:29,13402,17,0,3909,-675,-674,3685,16,1390,880,68,44062
2023-02-20 22:01:02,13372,16,0,3859,-107,-62,3721,17,1425,864,68,44051
2023-02-20 22:05:28,13760,14,0,3579,-666,-596,3686,14,1450,693,81,44050
2023-02-20 22:15:28,13895,13,0,3419,-652,-627,3579,13,1474,668,88,44048
2023-02-20 22:20:28,13807,12,0,3579,-72,-58,3705,14,1531,858,78,44049
2023-02-20 22:25:29,14253,11,0,3539,-652,-596,3649,11,1575,826,86,44051
2023-02-20 22:30:29,14475,10,0,3739,-1007,-1000,3637,9,1635,857,83,44055
2023-02-20 22:35:29,14756,8,0,3769,-728,-743,3624,8,1706,965,88,44058
2023-02-20 22:45:29,14732,7,0,3400,-210,-210,3662,9,1775,906,103,44058
2023-02-20 22:51:15,15168,5,0,3250,-202,-209,3618,5,1789,598,144,44057
2023-02-20 22:55:29,15656,3,1,3179,-730,-810,3624,2,1802,1000,244,44057
2023-02-20 23:00:29,14305,12,1,4589,3506,3492,3984,12,1547,1000,64,44059
2023-02-20 23:05:29,12769,22,1,4859,3483,3492,4054,21,1257,1000,58,44059
2023-02-20 23:10:29,11378,30,1,4559,2873,2522,4094,30,994,1000,82,44059
2023-02-20 23:15:29,10129,38,1,4469,2944,2944,4097,38,758,1000,77,44059
2023-02-20 23:20:29,10020,39,0,3700,-633,-668,3803,37,737,288,91,44059
2023-02-20 23:25:29,10303,37,0,3589,-597,-591,3785,36,791,505,98,44058
2023-02-20 23:30:28,10658,35,0,3750,-678,-674,3766,33,858,577,97,44060
2023-02-20 23:35:28,11009,32,0,3809,-675,-684,3758,31,924,597,96,44055
2023-02-20 23:40:29,11359,30,0,3889,-637,-831,3756,29,990,644,91,44056
2023-02-20 23:45:28,11695,28,0,3919,-775,-1194,3737,27,1054,688,79,44062
2023-02-20 23:50:43,11855,27,0,3659,-63,-46,3779,26,1084,593,80,44060
2023-02-20 23:55:28,12035,25,0,3559,-741,-558,3732,25,1118,582,80,44063
2023-02-21 00:00:29,12285,24,0,3409,-581,-602,3680,23,1165,613,82,44061
2023-02-21 00:06:50,12416,23,0,3219,-25,-50,3771,23,1190,584,84,44051
2023-02-21 00:19:59,12665,21,0,3309,-232,-170,3717,21,1237,704,83,44049
2023-02-21 00:25:29,12955,19,0,3250,-712,-748,3672,19,1292,648,88,44053
2023-02-21 00:30:30,13227,18,0,3329,-81,-93,3693,17,1343,808,85,44060
2023-02-21 00:35:29,13305,17,0,3029,-642,-626,3691,17,1367,689,96,44060
2023-02-21 00:40:29,13647,15,0,3339,-662,-670,3667,14,1434,849,85,44061
2023-02-21 00:45:29,13932,13,0,3669,-989,-710,3666,13,1500,905,78,44052
2023-02-21 00:50:29,14110,12,0,3719,-575,-583,3659,12,1566,978,73,44057
2023-02-21 00:55:29,14354,11,0,3350,-42,-104,3641,11,1612,870,89,44062
2023-02-21 01:06:08,14455,10,0,2789,-584,-580,3701,10,1629,588,125,44061
2023-02-21 01:10:28,14501,8,0,3139,-50,-11,3620,10,1675,915,105,44061
2023-02-21 01:20:29,14690,7,0,3309,-1093,-968,3674,8,1732,784,108,44048
2023-02-21 01:25:28,15112,6,0,3429,-703,-611,3610,5,1785,829,122,44048
2023-02-21 01:30:28,15433,4,0,3619,-685,-709,3591,3,1852,827,135,44055
2023-02-21 01:35:29,15735,2,0,3739,-854,-897,3467,2,1918,585,183,44062
2023-02-21 01:40:31,15760,1,0,3519,-89,-48,3498,2,1959,785,207,44050
2023-02-21 02:30:28,15071,8,1,4429,2957,3053,3955,7,1692,1000,79,44051
2023-02-21 02:35:29,13951,14,1,4350,2119,2119,3923,14,1480,1000,58,44051
2023-02-21 02:40:29,13551,16,0,4079,-1043,-593,3748,15,1404,1000,62,44049
2023-02-21 02:45:29,13845,14,0,3889,-782,-659,3721,14,1460,199,67,44054
2023-02-21 02:50:29,14219,11,0,3979,-1270,-971,3661,11,1531,489,67,44061
2023-02-21 02:55:29,14558,10,0,3950,-708,-793,3658,9,1595,539,71,44062
2023-02-21 03:00:28,14849,8,0,3719,-759,-732,3633,7,1650,678,90,44048
2023-02-21 03:05:28,15008,6,0,3829,-700,-669,3619,6,1719,792,90,44054
2023-02-21 03:20:28,15510,2,0,3819,-1052,-843,3548,3,1874,617,131,44057
2023-02-21 03:30:28,15872,1,0,3759,-79,-73,3411,2,1989,1093,228,44062
2023-02-21 03:40:29,15292,6,1,4359,2123,2120,3855,5,1733,1000,80,44060
2023-02-21 03:45:29,14952,8,1,4019,1735,1609,3785,8,1669,1000,76,44061
2023-02-21 03:50:29,15000,7,0,3919,-907,-878,3659,6,1678,513,85,44060
2023-02-21 03:55:28,15235,5,0,3719,-586,-587,3613,5,1722,487,108,44062
2023-02-21 04:00:29,15580,3,0,3750,-666,-640,3631,2,1788,169,149,44050
2023-02-21 04:05:28,15962,1,0,3879,-709,-810,3602,1,1860,100,347,44062
2023-02-21 04:10:29,15692,3,1,4209,1464,1510,3796,3,1809,1000,128,44062
2023-02-21 04:15:28,14947,8,1,4409,2137,2138,3826,7,1668,1000,66,44060
2023-02-21 04:20:28,14036,14,1,4339,1151,1195,3908,13,1496,1000,55,44060
2023-02-21 04:25:58,13497,17,1,4179,1522,1521,3845,16,1394,1000,58,44060
2023-02-21 04:35:28,13709,15,0,3839,-1629,-989,3667,14,1434,382,68,44061
2023-02-21 04:40:29,14054,13,0,3889,-665,-673,3685,12,1499,403,66,44048
2023-02-21 04:45:29,14367,11,0,3900,-702,-650,3623,10,1558,509,69,44060
2023-02-21 04:50:29,14692,9,0,3959,-729,-721,3648,8,1620,690,72,44052
2023-02-21 04:55:29,14719,8,0,3929,-658,-647,3638,8,1679,899,74,44057
2023-02-21 05:05:29,13836,15,1,4839,2351,3050,3911,15,1458,1000,51,44056
2023-02-21 05:10:28,12708,22,1,4309,1782,1747,4008,22,1245,1000,56,44056
2023-02-21 05:15:29,11679,28,1,4829,2950,3059,3982,28,1051,1000,65,44056
2023-02-21 05:20:29,10683,34,1,4409,2068,2068,4055,34,862,1000,76,44056
2023-02-21 05:25:28,9983,39,1,4709,2948,2993,4041,38,730,1000,67,44059
2023-02-21 05:30:29,8982,45,1,4419,2135,2144,4056,45,541,1000,57,44059
2023-02-21 05:35:29,7953,51,0,4250,-368,-359,3974,51,347,1000,45,44059
2023-02-21 05:40:28,7073,57,1,4409,2917,2926,4069,56,180,1000,65,44059
2023-02-21 05:45:28,6012,63,1,4200,2013,2015,4188,63,-20,1000,58,44059
2023-02-21 05:50:29,5580,66,0,3719,-415,-430,4043,65,-102,143,61,44058
2023-02-21 06:05:29,6245,64,0,3869,-646,-653,3974,61,24,756,70,44051
2023-02-21 06:10:29,6530,62,0,3709,-640,-697,3944,59,78,716,80,44052
2023-02-21 06:15:29,6869,60,0,3769,-1679,-1301,3919,57,142,763,81,44059
2023-02-21 06:20:29,7180,58,0,3800,-695,-732,3905,55,200,870,66,44061
2023-02-21 06:29:03,7306,57,0,3909,-709,-701,3893,54,224,947,58,44062
2023-02-21 10:56:33,7496,56,0,3029,-45,-45,3921,54,296,756,73,48172
2023-02-21 13:10:56,7658,55,0,2619,-13,-6,3911,53,327,620,91,48172
2023-02-21 13:54:39,7708,54,1,3069,2094,2083,3989,52,337,1000,81,48175
2023-02-21 13:55:29,6262,62,0,3369,81,-655,4129,61,62,1000,88,48175
2023-02-21 14:25:28,6124,63,1,3619,2079,2081,4200,62,36,1000,82,48172
2023-02-21 14:30:28,5244,69,1,3909,2003,2008,4232,67,-131,1000,53,48172
2023-02-21 14:35:29,4785,71,0,3579,-381,-373,4096,70,-218,576,56,48173
2023-02-21 15:00:28,5377,70,0,2929,-257,-158,4045,67,-106,749,94,48169
2023-02-21 15:05:29,5536,69,0,3059,-381,-360,4008,65,-75,885,92,48171
2023-02-21 15:10:28,5621,68,0,2900,-245,-210,4038,65,-59,794,101,48168
2023-02-21 15:49:12,5763,67,0,2659,-207,-197,4013,64,-32,798,121,48171
2023-02-21 16:30:28,5984,66,0,3389,-11,-7,4018,63,10,681,83,48171
2023-02-21 16:46:51,6128,65,0,3519,-222,-188,4016,62,30,608,81,48168
2023-02-21 17:15:28,6349,64,0,3439,-237,-210,3986,61,71,788,87,48170
2023-02-21 17:25:28,6419,63,0,3459,-11,-6,4000,60,85,609,86,48171
2023-02-21 18:05:28,6587,62,0,3550,-67,-108,3991,59,117,520,85,48171
2023-02-21 18:25:28,6703,61,0,3469,-15,-8,3967,58,139,566,90,48171
2023-02-21 18:55:28,6910,60,0,3439,-1349,-1969,3916,57,182,759,92,48171
2023-02-21 19:25:29,6988,59,0,2989,-10,-4,3918,57,197,689,105,48171
2023-02-21 20:15:28,7204,58,0,3159,-1071,-997,3894,55,238,987,88,48168
2023-02-21 20:20:29,7534,55,0,3429,-616,-553,3856,53,301,1437,62,48168
2023-02-21 20:25:29,7851,53,0,3459,-872,-889,3837,51,361,1232,64,48168
2023-02-21 20:30:29,8145,51,0,3489,-154,-150,3830,49,417,1141,71,48162
2023-02-21 20:35:53,8370,50,0,3589,-585,-496,3827,48,459,1105,75,48167
2023-02-21 20:51:01,8527,49,0,3519,-20,-15,3819,47,488,839,79,48167
2023-02-21 21:06:09,8659,48,0,2939,-15,-8,3861,46,515,694,107,48165
2023-02-21 22:05:41,8819,47,0,2650,-15,-7,3861,45,542,542,126,48167
2023-02-21 22:11:50,8902,46,0,2769,-309,-566,3794,44,557,710,123,48166
2023-02-21 22:25:28,9183,44,0,2809,-556,-554,3785,42,611,852,123,48166
2023-02-21 22:35:28,9357,43,0,2779,-551,-538,3781,41,644,781,129,48166
2023-02-21 22:40:29,9607,42,0,3000,-555,-549,3769,40,691,839,120,48166
